상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220810058029,와이엘,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,화장품; 비누 및 방향제 소매업,11,서울특별시,11680,강남구,11680531,논현2동,1168010800,논현동,1168010800102420053,1,대지,242,53,서울특별시 강남구 논현동 242-53,116803122006,서울특별시 강남구 선릉로,659,,1168010800102420053006459,가헌빌딩,서울특별시 강남구 선릉로 659,135830,06099,,,,127.041648176824,37.5154437795267
MA010120220804219011,코드컴,,N1,시설관리·임대,N108,기타 사업 서비스,N10802,전시/컨벤션/행사 대행 서비스업,N75992,전시; 컨벤션 및 행사 대행업,11,서울특별시,11680,강남구,11680640,역삼1동,1168010100,역삼동,1168010100107050001,1,대지,705,1,서울특별시 강남구 역삼동 705-1,116803122010,서울특별시 강남구 테헤란로,327,,1168010100107050002022491,빅토리아빌딩,서울특별시 강남구 테헤란로 327,135709,06150,,17,,127.047229010027,37.5044223944906
MA010120220800597737,북한산옹기,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47592,주방용품 및 가정용 유리; 요업제품 소매업,11,서울특별시,11380,은평구,11380690,진관동,1138011400,진관동,1138011400102870001,1,대지,287,1,서울특별시 은평구 진관동 287-1,113803000006,서울특별시 은평구 북한산로,314,,1138011400101290007007662,,서울특별시 은평구 북한산로 314,122200,03307,,,,126.942497731353,37.6569830973024
MA010120220800290248,방탈출카페탈출브라더스,,R1,예술·스포츠,R104,유원지·오락,R10405,기타 오락장,R91229,기타 오락장 운영업,11,서울특별시,11560,영등포구,11560535,영등포동,1156010400,영등포동3가,1156010400100230007,1,대지,23,7,서울특별시 영등포구 영등포동3가 23-7,115604154815,서울특별시 영등포구 영중로4길,25,,1156010400100230008035604,,서울특별시 영등포구 영중로4길 25,150030,07304,,4,,126.909065745105,37.5177407067764
MA010120220803626918,성지인테리어,,M1,과학·기술,M112,전문 디자인,M11201,인테리어 디자인업,F42412,도배; 실내 장식 및 내장 목공사업,11,서울특별시,11260,중랑구,11260690,신내2동,1126010600,신내동,1126010600105710021,1,대지,571,21,서울특별시 중랑구 신내동 571-21,112603106007,서울특별시 중랑구 신내로,65,,1126010600105710021000002,,서울특별시 중랑구 신내로 65,131132,02076,,1,,127.095264290948,37.6048095887991
MA010120220800675438,은혜부동산중개사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,11,서울특별시,11620,관악구,11620565,성현동,1162010100,봉천동,1162010100104920012,1,대지,492,12,서울특별시 관악구 봉천동 492-12,116203005080,서울특별시 관악구 양녕로,66,,1162010100104920012033786,,서울특별시 관악구 양녕로 66,151825,08729,,1,,126.946743334922,37.4879674501487
MA010120220808766915,아프리카동물병원,,M1,과학·기술,M111,수의,M11101,동물병원,M73100,수의업,11,서울특별시,11740,강동구,11740515,강일동,1174011000,강일동,1174011000106790002,1,대지,679,2,서울특별시 강동구 강일동 679-2,117403000035,서울특별시 강동구 아리수로,421,,1174011000106790002000001,MIDC빌딩,서울특별시 강동구 아리수로 421,134100,05211,,,,127.174070611308,37.5646345272627
MA010120220808813921,팀무브먼트강동구공무원체력학원,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,11,서울특별시,11740,강동구,11740660,성내3동,1174010800,성내동,1174010800104460024,1,대지,446,24,서울특별시 강동구 성내동 446-24,117403124007,서울특별시 강동구 성안로,10,,1174010800104460025004264,,서울특별시 강동구 성안로 10,134847,05407,,1,,127.129473743689,37.524723555819
MA010120220800752126,제드인사이트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,11,서울특별시,11500,강서구,11500611,발산1동,1150010500,마곡동,1150010500107990001,1,대지,799,1,서울특별시 강서구 마곡동 799-1,115002005007,서울특별시 강서구 공항대로,186,,1150010500107280194000001,로뎀타워,서울특별시 강서구 공항대로 186,157210,07631,,7,,126.827990808378,37.5590964256157
MA010120220803456997,신백마당구장,,R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장,R91135,당구장 운영업,11,서울특별시,11140,중구,11140665,동화동,1114016200,신당동,1114016200100520013,1,대지,52,13,서울특별시 중구 신당동 52-13,111404103063,서울특별시 중구 다산로40길,56,,1114016200100520013003473,,서울특별시 중구 다산로40길 56,100456,04585,,,,127.01907168288,37.5631845677604
MA010120220809870796,팀파이브에이치,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,11,서울특별시,11710,송파구,11710562,방이2동,1171011100,방이동,1171011100101770003,1,대지,177,3,서울특별시 송파구 방이동 177-3,117102123002,서울특별시 송파구 위례성대로,48,,1171011100101770003015927,반도빌딩,서울특별시 송파구 위례성대로 48,138830,05627,,3,,127.117524096836,37.5153115642651
MA010120220803304257,카페멘디,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,11,서울특별시,11305,강북구,11305645,우이동,1130510300,수유동,1130510300105820012,1,대지,582,12,서울특별시 강북구 수유동 582-12,113054124621,서울특별시 강북구 419로8길,7,2,1130510300105820012005182,,서울특별시 강북구 419로8길 7-2,142881,01012,,,,127.008725059742,37.64722112571
MA010120220804206392,코코네일,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,11,서울특별시,11500,강서구,11500611,발산1동,1150010500,마곡동,1150010500107990010,1,대지,799,10,서울특별시 강서구 마곡동 799-10,115003155053,서울특별시 강서구 마곡중앙4로,18,,1150010500107990009000001,마곡그랑트윈타워,서울특별시 강서구 마곡중앙4로 18,157210,07631,,,,126.828614610166,37.5585206952668
MA010120220812461273,희우정,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,11,서울특별시,11440,마포구,11440720,성산1동,1144012500,성산동,1144012500102750003,1,대지,275,3,서울특별시 마포구 성산동 275-3,114403005060,서울특별시 마포구 성산로,128,,1144012500102750003017854,마포중앙도서관,서울특별시 마포구 성산로 128,121711,03965,,1,,126.908206181782,37.5637901309499
MA010120220803973101,동남유리공예사,,G2,소매,G218,장식품 소매,G21801,예술품 소매업,G47841,예술품 및 골동품 소매업,11,서울특별시,11305,강북구,11305615,수유1동,1130510300,수유동,1130510300100480019,1,대지,48,19,서울특별시 강북구 수유동 48-19,113053005039,서울특별시 강북구 도봉로,289,1,1130510300100480019012361,,서울특별시 강북구 도봉로 289-1,142873,01113,,1,,127.023066416388,37.6342810549188
MA010120220800270452,이탐,,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,11,서울특별시,11170,용산구,11170625,한강로동,1117012400,한강로1가,1117012400102010000,1,대지,201,,서울특별시 용산구 한강로1가 201,111704106445,서울특별시 용산구 한강대로62다길,1,,1117012400102010000014801,,서울특별시 용산구 한강대로62다길 1,140011,04382,,,,126.973819321863,37.5336124280593
MA010120220807929220,하루작업실,,G2,소매,G209,섬유·의복·신발 소매,G20909,실/섬유제품 소매업,G47429,섬유 원단; 실 및 기타 섬유제품 소매업,11,서울특별시,11110,종로구,11110640,이화동,1111016500,이화동,1111016500100280042,1,대지,28,42,서울특별시 종로구 이화동 28-42,111104100242,서울특별시 종로구 이화장1길,10,,1111016500100280042010428,,서울특별시 종로구 이화장1길 10,110500,03100,,,,127.005094283276,37.5772144964225
MA010120220807057720,아이캔,,M1,과학·기술,M109,기술 서비스,M10999,기타 엔지니어링 서비스업,M72129,기타 엔지니어링 서비스업,11,서울특별시,11530,구로구,11530540,구로3동,1153010200,구로동,1153010200102120008,1,대지,212,8,서울특별시 구로구 구로동 212-8,115303000026,서울특별시 구로구 디지털로,288,,1153010200102120008022974,대륭포스트타워1차,서울특별시 구로구 디지털로 288,152790,08390,,12,,126.895505475009,37.4835723648529
